Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:32:05 2021,1609961525.8089926,1205.483,0.07029056549072266
Wed Jan  6 11:32:06 2021,1609961526.8180556,87.96,0.0051288604736328125
Wed Jan  6 11:32:07 2021,1609961527.8272982,88.393,0.005154132843017578
Wed Jan  6 11:32:08 2021,1609961528.901657,1205.34,0.0702822208404541
Wed Jan  6 11:32:09 2021,1609961529.9119089,93.108,0.00542902946472168
Wed Jan  6 11:32:10 2021,1609961530.9862165,1205.377,0.07028436660766602
Wed Jan  6 11:32:11 2021,1609961531.9960148,90.082,0.0052525997161865234
Wed Jan  6 11:32:13 2021,1609961533.070345,1205.385,0.07028484344482422
Wed Jan  6 11:32:14 2021,1609961534.1452165,1205.213,0.07027482986450195
Wed Jan  6 11:32:15 2021,1609961535.2197025,1205.119,0.07026934623718262
Wed Jan  6 11:32:16 2021,1609961536.2948308,1205.348,0.0702826976776123
Wed Jan  6 11:32:17 2021,1609961537.3048701,88.753,0.005175113677978516
Wed Jan  6 11:32:18 2021,1609961538.3790686,1205.119,0.07026934623718262
Wed Jan  6 11:32:19 2021,1609961539.4533591,1205.127,0.07026982307434082
Wed Jan  6 11:32:20 2021,1609961540.528105,1205.185,0.07027316093444824
Wed Jan  6 11:32:21 2021,1609961541.6087055,1205.025,0.07026386260986328
Wed Jan  6 11:32:22 2021,1609961542.6839557,1205.279,0.07027864456176758
Wed Jan  6 11:32:23 2021,1609961543.7588472,1205.119,0.07026934623718262
Wed Jan  6 11:32:24 2021,1609961544.8333893,1205.177,0.07027268409729004
Wed Jan  6 11:32:25 2021,1609961545.9092948,1205.144,0.07027077674865723
Wed Jan  6 11:32:26 2021,1609961546.9863822,1205.299,0.07027983665466309
Wed Jan  6 11:32:28 2021,1609961548.0607617,1205.275,0.07027840614318848
Wed Jan  6 11:32:29 2021,1609961549.135165,1205.279,0.07027864456176758
Wed Jan  6 11:32:30 2021,1609961550.209536,1205.217,0.07027506828308105
Wed Jan  6 11:32:31 2021,1609961551.2656684,890.227,0.051908254623413086
Wed Jan  6 11:32:32 2021,1609961552.3400648,1205.132,0.07027006149291992
Wed Jan  6 11:32:33 2021,1609961553.414853,1205.205,0.07027435302734375
Wed Jan  6 11:32:34 2021,1609961554.4895399,1205.082,0.0702672004699707
Wed Jan  6 11:32:35 2021,1609961555.5638862,1205.119,0.07026934623718262
Wed Jan  6 11:32:36 2021,1609961556.638911,1205.197,0.07027387619018555
Wed Jan  6 11:32:37 2021,1609961557.650815,90.855,0.005297660827636719
Wed Jan  6 11:32:38 2021,1609961558.7253406,1205.103,0.07026839256286621
Wed Jan  6 11:32:39 2021,1609961559.7345607,88.295,0.005148410797119141
Wed Jan  6 11:32:40 2021,1609961560.8089767,1205.172,0.07027244567871094
Wed Jan  6 11:32:41 2021,1609961561.88329,1205.181,0.07027292251586914
Wed Jan  6 11:32:42 2021,1609961562.8930237,97.262,0.005671262741088867
Wed Jan  6 11:32:43 2021,1609961563.9673705,1204.686,0.07024407386779785
Wed Jan  6 11:32:45 2021,1609961565.0416899,1205.099,0.07026815414428711
Wed Jan  6 11:32:46 2021,1609961566.1160076,1205.033,0.07026433944702148
Wed Jan  6 11:32:47 2021,1609961567.12528,89.518,0.005219697952270508
Wed Jan  6 11:32:48 2021,1609961568.1995952,1205.177,0.07027268409729004
Wed Jan  6 11:32:49 2021,1609961569.2739205,1205.144,0.07027077674865723
Wed Jan  6 11:32:50 2021,1609961570.3482568,1205.066,0.0702662467956543
Wed Jan  6 11:32:51 2021,1609961571.4225714,1204.997,0.07026219367980957
Wed Jan  6 11:32:52 2021,1609961572.4968922,1204.952,0.07025957107543945
Wed Jan  6 11:32:53 2021,1609961573.5712042,1205.074,0.0702667236328125
Wed Jan  6 11:32:54 2021,1609961574.6454716,1205.029,0.07026410102844238
Wed Jan  6 11:32:55 2021,1609961575.719529,1204.98,0.07026124000549316
Wed Jan  6 11:32:56 2021,1609961576.7938435,1205.029,0.07026410102844238
Wed Jan  6 11:32:57 2021,1609961577.8674736,1205.835,0.07031106948852539
Wed Jan  6 11:32:58 2021,1609961578.9417534,1205.082,0.0702672004699707
Wed Jan  6 11:32:59 2021,1609961579.9506955,87.678,0.005112409591674805
Wed Jan  6 11:33:01 2021,1609961581.025045,1205.111,0.07026886940002441
Wed Jan  6 11:33:02 2021,1609961582.0996425,1205.074,0.0702667236328125
Wed Jan  6 11:33:03 2021,1609961583.1744373,1204.849,0.07025361061096191
Wed Jan  6 11:33:04 2021,1609961584.2488785,1205.172,0.07027244567871094
Wed Jan  6 11:33:05 2021,1609961585.2587082,88.107,0.005137443542480469
Wed Jan  6 11:33:06 2021,1609961586.3331592,1205.123,0.07026958465576172
Wed Jan  6 11:33:07 2021,1609961587.4075067,1205.054,0.07026553153991699
Wed Jan  6 11:33:08 2021,1609961588.4818692,1205.033,0.07026433944702148
Wed Jan  6 11:33:09 2021,1609961589.5562234,1205.087,0.0702674388885498
Wed Jan  6 11:33:10 2021,1609961590.6314564,1204.968,0.07026052474975586
Wed Jan  6 11:33:11 2021,1609961591.6415179,88.708,0.0051724910736083984
Wed Jan  6 11:33:12 2021,1609961592.7167056,1205.066,0.0702662467956543
Wed Jan  6 11:33:13 2021,1609961593.7629578,706.288,0.0411829948425293
Wed Jan  6 11:33:14 2021,1609961594.843452,1205.042,0.07026481628417969
Wed Jan  6 11:33:15 2021,1609961595.9186196,1204.898,0.07025647163391113
Wed Jan  6 11:33:16 2021,1609961596.9933698,1204.923,0.07025790214538574
Wed Jan  6 11:33:18 2021,1609961598.0672894,1204.154,0.07021307945251465
Wed Jan  6 11:33:19 2021,1609961599.1417966,1201.84,0.07007813453674316
Wed Jan  6 11:33:20 2021,1609961600.154139,121.767,0.007100105285644531
Wed Jan  6 11:33:21 2021,1609961601.1631846,90.405,0.005271434783935547
Wed Jan  6 11:33:22 2021,1609961602.2378006,1204.927,0.07025814056396484
Wed Jan  6 11:33:23 2021,1609961603.3157225,1204.87,0.07025480270385742
Wed Jan  6 11:33:24 2021,1609961604.3934727,1204.858,0.07025408744812012
Wed Jan  6 11:33:25 2021,1609961605.468154,1205.033,0.07026433944702148
Wed Jan  6 11:33:26 2021,1609961606.5430813,1204.948,0.07025933265686035
Wed Jan  6 11:33:27 2021,1609961607.6171088,1205.07,0.0702664852142334
