Date,Time From Epoch(S),Distance(CM),Deltatime(S)
Wed Jan  6 11:49:03 2021,1609962543.6868703,1204.518,0.07023429870605469
Wed Jan  6 11:49:04 2021,1609962544.7170303,441.783,0.02575993537902832
Wed Jan  6 11:49:05 2021,1609962545.7946002,1204.469,0.07023143768310547
Wed Jan  6 11:49:06 2021,1609962546.856272,949.867,0.05538582801818848
Wed Jan  6 11:49:07 2021,1609962547.9306817,1204.551,0.0702362060546875
Wed Jan  6 11:49:08 2021,1609962548.9435205,146.472,0.008540630340576172
Wed Jan  6 11:49:09 2021,1609962549.9584317,154.613,0.009015321731567383
Wed Jan  6 11:49:10 2021,1609962550.9838006,356.718,0.020799875259399414
Wed Jan  6 11:49:12 2021,1609962552.0592964,1204.719,0.07024598121643066
Wed Jan  6 11:49:13 2021,1609962553.114986,878.868,0.051245927810668945
Wed Jan  6 11:49:14 2021,1609962554.1897547,1204.698,0.07024478912353516
Wed Jan  6 11:49:15 2021,1609962555.2644315,1204.612,0.07023978233337402
Wed Jan  6 11:49:16 2021,1609962556.3391626,1204.543,0.0702357292175293
Wed Jan  6 11:49:17 2021,1609962557.4138157,1204.539,0.0702354907989502
Wed Jan  6 11:49:18 2021,1609962558.488452,1204.723,0.07024621963500977
Wed Jan  6 11:49:19 2021,1609962559.5631316,1204.612,0.07023978233337402
Wed Jan  6 11:49:20 2021,1609962560.6374166,1204.514,0.07023406028747559
Wed Jan  6 11:49:21 2021,1609962561.6939733,893.477,0.05209779739379883
Wed Jan  6 11:49:22 2021,1609962562.7448258,799.633,0.04662585258483887
Wed Jan  6 11:49:23 2021,1609962563.7609,198.368,0.011566638946533203
Wed Jan  6 11:49:24 2021,1609962564.8353777,1204.714,0.07024574279785156
Wed Jan  6 11:49:25 2021,1609962565.8747656,604.25,0.035233259201049805
Wed Jan  6 11:49:26 2021,1609962566.9494133,1204.903,0.07025671005249023
Wed Jan  6 11:49:28 2021,1609962568.0239584,1204.87,0.07025480270385742
Wed Jan  6 11:49:29 2021,1609962569.0986092,1204.87,0.07025480270385742
Wed Jan  6 11:49:30 2021,1609962570.156086,909.24,0.05301690101623535
Wed Jan  6 11:49:31 2021,1609962571.2244918,1097.103,0.06397104263305664
Wed Jan  6 11:49:32 2021,1609962572.2992032,1204.833,0.07025265693664551
Wed Jan  6 11:49:33 2021,1609962573.373587,1202.637,0.07012462615966797
Wed Jan  6 11:49:34 2021,1609962574.3828979,83.72,0.004881620407104492
Wed Jan  6 11:49:35 2021,1609962575.4205153,579.096,0.03376650810241699
Wed Jan  6 11:49:36 2021,1609962576.4317474,115.969,0.006762027740478516
Wed Jan  6 11:49:37 2021,1609962577.4666054,526.378,0.030692577362060547
Wed Jan  6 11:49:38 2021,1609962578.5411532,1202.821,0.07013535499572754
Wed Jan  6 11:49:39 2021,1609962579.6156683,1202.96,0.07014346122741699
Wed Jan  6 11:49:40 2021,1609962580.689824,1203.026,0.07014727592468262
Wed Jan  6 11:49:41 2021,1609962581.7639022,1202.932,0.07014179229736328
Wed Jan  6 11:49:42 2021,1609962582.7965615,492.211,0.02870035171508789
Wed Jan  6 11:49:43 2021,1609962583.870741,1202.903,0.07014012336730957
Wed Jan  6 11:49:44 2021,1609962584.9452944,1203.144,0.07015419006347656
Wed Jan  6 11:49:46 2021,1609962586.0196795,1202.866,0.07013797760009766
Wed Jan  6 11:49:47 2021,1609962587.093988,1203.153,0.07015466690063477
Wed Jan  6 11:49:48 2021,1609962588.1680129,1203.386,0.07016825675964355
Wed Jan  6 11:49:49 2021,1609962589.2423437,1203.222,0.07015872001647949
Wed Jan  6 11:49:50 2021,1609962590.316405,1203.41,0.07016968727111816
Wed Jan  6 11:49:51 2021,1609962591.390413,1203.377,0.07016777992248535
Wed Jan  6 11:49:52 2021,1609962592.4635894,1199.869,0.06996321678161621
Wed Jan  6 11:49:53 2021,1609962593.5380507,1203.398,0.07016897201538086
Wed Jan  6 11:49:54 2021,1609962594.61228,1203.357,0.07016658782958984
Wed Jan  6 11:49:55 2021,1609962595.6865156,1203.549,0.07017779350280762
Wed Jan  6 11:49:56 2021,1609962596.7494633,984.995,0.05743408203125
Wed Jan  6 11:49:57 2021,1609962597.8242195,1203.382,0.07016801834106445
Wed Jan  6 11:49:58 2021,1609962598.8987842,1203.508,0.0701754093170166
Wed Jan  6 11:49:59 2021,1609962599.9728975,1203.59,0.07018017768859863
Wed Jan  6 11:50:00 2021,1609962600.9859116,149.894,0.00874018669128418
Wed Jan  6 11:50:01 2021,1609962601.9979315,129.331,0.007541179656982422
Wed Jan  6 11:50:03 2021,1609962603.0138683,143.892,0.008390188217163086
Wed Jan  6 11:50:04 2021,1609962604.0813746,1080.503,0.0630030632019043
Wed Jan  6 11:50:05 2021,1609962605.1464343,1040.162,0.06065082550048828
Wed Jan  6 11:50:06 2021,1609962606.2204163,1203.717,0.07018756866455078
Wed Jan  6 11:50:07 2021,1609962607.2652755,691.969,0.040348052978515625
Wed Jan  6 11:50:08 2021,1609962608.343383,1203.602,0.07018089294433594
Wed Jan  6 11:50:09 2021,1609962609.3562224,133.616,0.007791042327880859
Wed Jan  6 11:50:10 2021,1609962610.4305248,1203.741,0.07018899917602539
Wed Jan  6 11:50:11 2021,1609962611.5054321,1203.75,0.0701894760131836
Wed Jan  6 11:50:12 2021,1609962612.5151296,91.014,0.00530695915222168
Wed Jan  6 11:50:13 2021,1609962613.5935102,1203.745,0.07018923759460449
Wed Jan  6 11:50:14 2021,1609962614.6150696,296.93,0.017313718795776367
Wed Jan  6 11:50:15 2021,1609962615.6890838,1203.856,0.07019567489624023
Wed Jan  6 11:50:16 2021,1609962616.7030866,162.018,0.009447097778320312
Wed Jan  6 11:50:17 2021,1609962617.7126877,87.032,0.005074739456176758
Wed Jan  6 11:50:18 2021,1609962618.790401,1204.077,0.07020854949951172
Wed Jan  6 11:50:19 2021,1609962619.8426056,819.419,0.04777956008911133
Wed Jan  6 11:50:20 2021,1609962620.917191,1204.015,0.0702049732208252
Wed Jan  6 11:50:21 2021,1609962621.9913514,1203.917,0.07019925117492676
Wed Jan  6 11:50:23 2021,1609962623.0226593,466.087,0.027177095413208008
Wed Jan  6 11:50:24 2021,1609962624.1005483,1204.146,0.07021260261535645
Wed Jan  6 11:50:25 2021,1609962625.1756485,1203.983,0.07020306587219238
